,Smiles,Mol,score,h,Training,Success,enamine_searched,enamine_id
51,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](C(=O)OC([H])([H])C([H])([H])[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af309f470>,,21,False,False,False,
52,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(S(=O)(=O)N([H])[H])N1[H],<fegrow.package.RMol object at 0x151af309da80>,,21,False,False,False,
53,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af309d800>,,21,False,False,False,
54,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](C(=O)N([H])C([H])([H])[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af30639c0>,,21,False,False,False,
55,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])N(C([H])([H])[H])C([H])([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30b8bd0>,,21,False,False,False,
56,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](C(=O)N(C([H])([H])[H])C([H])([H])[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af3062930>,,21,False,False,False,
57,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2c([H])c([H])c([H])c(Cl)c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af2ab2750>,,21,False,False,False,
58,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](SC([H])([H])[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af24a9ee0>,,21,False,False,False,
59,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](C(=O)c2c([H])c([H])c([H])c([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af3061850>,,21,False,False,False,
60,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])N1[H],<fegrow.package.RMol object at 0x151af30ad350>,,21,False,False,False,
61,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C2([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])N1[H],<fegrow.package.RMol object at 0x151af24ab380>,,21,False,False,False,
62,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(c2c([H])c([H])c([H])c([H])c2Cl)N1[H],<fegrow.package.RMol object at 0x151af24ab1a0>,,21,False,False,False,
63,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](C(=O)N([H])O[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af3062340>,,21,False,False,False,
64,[H]N=C1N(C([H])([H])[H])C(=O)[C@](c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])(C([H])([H])C([H])([H])O[H])N1[H],<fegrow.package.RMol object at 0x151af30b0720>,,21,False,False,False,
65,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2c([H])nc([H])nc2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af3063ba0>,,21,False,False,False,
66,[H]N=C1N(C([H])([H])[H])C(=O)[C@@](c2oc([H])c([H])c2[H])(c2c([H])c([H])c([H])c(-c3c([H])nc([H])c([H])c3[H])c2[H])N1[H],<fegrow.package.RMol object at 0x151af28e1440>,,21,False,False,False,
